unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1737417600,21.01.2025 00:00,BTC/USD,102155,102446,101610,101734,2.74951016,279718.6666
1737414000,20.01.2025 23:00,BTC/USD,103487,103553,101630,102141,113.5866176,11601850.71
1737410400,20.01.2025 22:00,BTC/USD,102522,103676,101725,103466,54.54467937,5643519.796
1737406800,20.01.2025 21:00,BTC/USD,103528,103962,102475,102475,30.27413714,3102342.203
1737403200,20.01.2025 20:00,BTC/USD,103566,104191,103255,103520,33.59713016,3477974.914
1737399600,20.01.2025 19:00,BTC/USD,103825,103861,102649,103583,55.17988734,5715698.27
1737396000,20.01.2025 18:00,BTC/USD,102849,104356,102657,103807,153.0477587,15887428.69
1737392400,20.01.2025 17:00,BTC/USD,106521,106616,100482,102877,996.0547568,102471125.2
1737388800,20.01.2025 16:00,BTC/USD,104853,106902,103682,106564,249.7359224,26612858.83
1737385200,20.01.2025 15:00,BTC/USD,107741,107852,104361,104791,355.4290301,37245763.49
1737381600,20.01.2025 14:00,BTC/USD,107794,107969,107127,107747,89.60577836,9654753.801
1737378000,20.01.2025 13:00,BTC/USD,106790,107985,106516,107793,55.86308346,6021649.355
1737374400,20.01.2025 12:00,BTC/USD,108099,108563,105350,106789,136.8468792,14613741.39
1737370800,20.01.2025 11:00,BTC/USD,107836,108404,107655,108099,60.58680103,6549372.605
1737367200,20.01.2025 10:00,BTC/USD,108004,108575,107651,107825,69.93418622,7540653.629
1737363600,20.01.2025 09:00,BTC/USD,108179,109030,107436,108006,166.1730478,17947686.2
1737360000,20.01.2025 08:00,BTC/USD,106954,108237,106927,108176,61.41379652,6643498.852
1737356400,20.01.2025 07:00,BTC/USD,107212,109186,106756,106945,444.011531,47484813.18
1737352800,20.01.2025 06:00,BTC/USD,102229,109356,102133,107272,496.7456936,53286904.04
1737349200,20.01.2025 05:00,BTC/USD,102111,102710,102012,102230,51.5633458,5271320.841
1737345600,20.01.2025 04:00,BTC/USD,101801,102666,101430,102120,58.97919682,6022955.579
1737342000,20.01.2025 03:00,BTC/USD,101783,102058,101310,101804,72.03992284,7333952.305
